,Date,Buy Stock,Sell Stock,Buy Price,Sell Price,Buy Quantity,Sell Quantity,Profit
177,2015-12-27,RELIANCE IB Equity,NTPC IB Equity,447.74,113.83,1.0,3.8970442013920277,-4.139458555545515
178,2015-12-27,TTAN IB Equity,SUNP IB Equity,354.5,754.45,1.0,0.45986208691126723,-7.557048529794432
179,2015-12-27,MM IB Equity,IIB IB Equity,638.58,947.85,1.0,0.673714195284064,0.0
180,2016-01-24,HCLT IB Equity,TCS IB Equity,421.68,1141.22,2.7063650161259725,1.0,0
181,2016-01-24,INFO IB Equity,JSTL IB Equity,565.97,99.25,0.1753626517306571,1.0,0
182,2016-01-24,TCS IB Equity,HCLT IB Equity,1141.22,421.68,1.0,2.7063650161259725,0.0
183,2016-01-24,JSTL IB Equity,INFO IB Equity,99.25,565.97,1.0,0.1753626517306571,0.0
184,2016-02-14,LT IB Equity,JSTL IB Equity,753.5,104.93,0.13925680159256804,1.0,0
185,2016-02-21,JSTL IB Equity,LT IB Equity,104.05,766.1,1.0,0.13925680159256804,2.63463570006637
186,2016-02-28,TCS IB Equity,TTAN IB Equity,1157.1,338.1,0.29219600725952816,1.0,0
187,2016-03-20,TTAN IB Equity,TCS IB Equity,342.55,1176.0,1.0,0.29219600725952816,1.0725045372051198
188,2016-03-27,TTAN IB Equity,HCLT IB Equity,341.9,411.4,1.2032758116408306,1.0,0
189,2016-04-03,HCLT IB Equity,TTAN IB Equity,405.83,327.6,1.0,1.2032758116408306,-11.63684410646383
190,2016-05-15,APNT IB Equity,NEST IB Equity,906.15,5523.65,6.095734701760194,1.0,0
191,2016-05-15,NEST IB Equity,APNT IB Equity,5523.65,906.15,1.0,6.095734701760194,0.0
192,2016-06-05,TCS IB Equity,TTAN IB Equity,1317.68,363.15,0.2755980207637666,1.0,0
193,2016-06-12,TTAN IB Equity,TCS IB Equity,353.65,1305.68,1.0,0.2755980207637666,6.192823750834801
194,2016-06-19,HCLT IB Equity,HDFCB IB Equity,376.4,576.63,1.531960680127524,1.0,0
195,2016-06-26,RELIANCE IB Equity,IIB IB Equity,446.97,1102.7,2.4670559545383357,1.0,0
196,2016-07-03,MM IB Equity,KMB IB Equity,694.88,738.7,1.0630612479852637,1.0,0
197,2016-07-03,SUNP IB Equity,TCS IB Equity,773.9,1247.68,1.6121979583925574,1.0,0
198,2016-07-10,HDFCB IB Equity,HCLT IB Equity,585.75,373.15,1.0,1.531960680127524,-14.098872210414457
199,2016-07-10,IIB IB Equity,RELIANCE IB Equity,1105.65,445.21,1.0,2.4670559545383357,-7.292018479987634
200,2016-07-10,KMB IB Equity,MM IB Equity,744.65,732.78,1.0,1.0630612479852637,34.34002129864154
